CHAMP1_POSITION,CHAMP2_POSITION,YEAR,SEASON,TEAM,CHAMP1_TAG,CHAMP2_TAG,VICTORY,DEFEAT,TOTALPLAYED,PERCENTVICTORY,PERCENTDEFEAT
AD_CARRY,SUPPORT,2014,Summer,Blue,"['Marksman', 'Assassin']","['Mage', 'Support']",1,2,3,0.3333333333333333,0.6666666666666666
AD_CARRY,SUPPORT,2014,Summer,Blue,"['Marksman', 'Assassin']","['Support', 'Fighter']",5,3,8,0.625,0.375
AD_CARRY,SUPPORT,2014,Summer,Blue,"['Marksman', 'Assassin']","['Support', 'Mage']",10,7,17,0.5882352941176471,0.4117647058823529
AD_CARRY,SUPPORT,2014,Summer,Blue,"['Marksman', 'Assassin']","['Support', 'Tank']",1,0,1,1.0,0.0
AD_CARRY,SUPPORT,2014,Summer,Blue,"['Marksman', 'Mage']","['Fighter', 'Support']",0,1,1,0.0,1.0
AD_CARRY,SUPPORT,2014,Summer,Blue,"['Marksman', 'Mage']","['Support', 'Mage']",5,5,10,0.5,0.5
AD_CARRY,SUPPORT,2014,Summer,Blue,"['Marksman', 'Mage']","['Tank', 'Support']",1,0,1,1.0,0.0
AD_CARRY,SUPPORT,2014,Summer,Blue,['Marksman'],"['Mage', 'Support']",3,3,6,0.5,0.5
AD_CARRY,SUPPORT,2014,Summer,Blue,['Marksman'],"['Support', 'Fighter']",6,5,11,0.5454545454545454,0.45454545454545453
AD_CARRY,SUPPORT,2014,Summer,Blue,['Marksman'],"['Support', 'Mage']",10,3,13,0.7692307692307693,0.23076923076923078
AD_CARRY,SUPPORT,2014,Summer,Blue,['Marksman'],"['Support', 'Tank']",3,2,5,0.6,0.4
AD_CARRY,SUPPORT,2014,Summer,Blue,['Marksman'],"['Tank', 'Fighter']",0,1,1,0.0,1.0
AD_CARRY,SUPPORT,2014,Summer,Blue,['Marksman'],"['Tank', 'Support']",1,0,1,1.0,0.0
AD_CARRY,SUPPORT,2014,Summer,Red,"['Marksman', 'Assassin']","['Support', 'Fighter']",3,5,8,0.375,0.625
AD_CARRY,SUPPORT,2014,Summer,Red,"['Marksman', 'Assassin']","['Support', 'Mage']",10,8,18,0.5555555555555556,0.4444444444444444
AD_CARRY,SUPPORT,2014,Summer,Red,"['Marksman', 'Assassin']","['Support', 'Tank']",2,2,4,0.5,0.5
AD_CARRY,SUPPORT,2014,Summer,Red,"['Marksman', 'Assassin']","['Tank', 'Support']",0,1,1,0.0,1.0
AD_CARRY,SUPPORT,2014,Summer,Red,"['Marksman', 'Mage']","['Support', 'Fighter']",1,1,2,0.5,0.5
AD_CARRY,SUPPORT,2014,Summer,Red,"['Marksman', 'Mage']","['Support', 'Mage']",0,4,4,0.0,1.0
AD_CARRY,SUPPORT,2014,Summer,Red,"['Marksman', 'Mage']","['Support', 'Tank']",0,1,1,0.0,1.0
AD_CARRY,SUPPORT,2014,Summer,Red,['Marksman'],"['Mage', 'Support']",2,1,3,0.6666666666666666,0.3333333333333333
AD_CARRY,SUPPORT,2014,Summer,Red,['Marksman'],"['Support', 'Fighter']",9,6,15,0.6,0.4
AD_CARRY,SUPPORT,2014,Summer,Red,['Marksman'],"['Support', 'Mage']",5,13,18,0.2777777777777778,0.7222222222222222
AD_CARRY,SUPPORT,2014,Summer,Red,['Marksman'],"['Support', 'Tank']",0,1,1,0.0,1.0
AD_CARRY,SUPPORT,2014,Summer,Red,['Marksman'],"['Tank', 'Fighter']",0,2,2,0.0,1.0
AD_CARRY,SUPPORT,2014,Summer,Red,['Marksman'],"['Tank', 'Support']",0,1,1,0.0,1.0
