,time,quantidade_vitorias,champ1,champ2,ano,season,champComp
12,BLUE,79,Lucian,Braum,2016,Spring,Lucian/Braum
19,BLUE,74,Elise,Thresh,2016,Spring,Elise/Thresh
20,RED,73,Elise,Braum,2016,Spring,Elise/Braum
23,RED,72,RekSai,Lucian,2016,Spring,RekSai/Lucian
32,RED,67,Elise,Lucian,2016,Spring,Elise/Lucian
40,BLUE,63,Caitlyn,Braum,2016,Summer,Caitlyn/Braum
43,RED,61,Elise,Ashe,2016,Summer,Elise/Ashe
48,BLUE,61,Sivir,Braum,2016,Summer,Sivir/Braum
49,RED,60,Viktor,RekSai,2016,Spring,Viktor/RekSai
50,BLUE,60,Gragas,Lucian,2016,Spring,Gragas/Lucian
53,RED,59,Elise,Ezreal,2016,Summer,Elise/Ezreal
54,RED,59,RekSai,Jhin,2016,Summer,RekSai/Jhin
58,BLUE,58,Elise,Lucian,2016,Spring,Elise/Lucian
69,RED,55,Ezreal,Karma,2016,Summer,Ezreal/Karma
71,BLUE,55,Graves,Ezreal,2016,Spring,Graves/Ezreal
72,BLUE,55,Elise,Kalista,2016,Spring,Elise/Kalista
77,BLUE,54,Kalista,Alistar,2016,Spring,Kalista/Alistar
80,RED,53,Sivir,Karma,2016,Summer,Sivir/Karma
84,BLUE,53,RekSai,Jhin,2016,Summer,RekSai/Jhin
88,BLUE,52,Graves,Braum,2016,Spring,Graves/Braum
95,BLUE,51,Jhin,Karma,2016,Summer,Jhin/Karma
96,BLUE,51,Ezreal,Karma,2016,Summer,Ezreal/Karma
97,RED,50,Shen,Ashe,2016,Summer,Shen/Ashe
100,RED,50,Ashe,Karma,2016,Summer,Ashe/Karma
103,BLUE,50,Viktor,Elise,2016,Summer,Viktor/Elise
107,RED,49,RekSai,Ashe,2016,Summer,RekSai/Ashe
108,RED,49,Ezreal,Braum,2016,Spring,Ezreal/Braum
110,BLUE,49,Poppy,Lucian,2016,Spring,Poppy/Lucian
113,BLUE,49,Elise,Caitlyn,2016,Spring,Elise/Caitlyn
114,BLUE,49,Elise,Jhin,2016,Summer,Elise/Jhin
116,BLUE,49,Ashe,Karma,2016,Summer,Ashe/Karma
117,BLUE,49,Lucian,Alistar,2016,Spring,Lucian/Alistar
118,RED,48,Trundle,Elise,2016,Summer,Trundle/Elise
120,RED,48,Ashe,Zyra,2016,Summer,Ashe/Zyra
121,RED,48,Lucian,Alistar,2016,Spring,Lucian/Alistar
123,BLUE,48,Elise,Ezreal,2016,Spring,Elise/Ezreal
129,RED,47,Jhin,Karma,2016,Spring,Jhin/Karma
130,BLUE,47,Poppy,Elise,2016,Spring,Poppy/Elise
135,BLUE,47,Elise,Sivir,2016,Summer,Elise/Sivir
136,BLUE,47,Nidalee,Lucian,2016,Spring,Nidalee/Lucian
137,BLUE,47,RekSai,Bard,2016,Spring,RekSai/Bard
138,BLUE,47,Ezreal,Braum,2016,Summer,Ezreal/Braum
140,RED,46,Trundle,Gragas,2016,Spring,Trundle/Gragas
147,BLUE,46,Jhin,TahmKench,2016,Summer,Jhin/TahmKench
148,RED,45,Cassiopeia,RekSai,2016,Summer,Cassiopeia/RekSai
149,BLUE,45,Nautilus,Graves,2016,Spring,Nautilus/Graves
151,BLUE,45,Taliyah,Elise,2016,Summer,Taliyah/Elise
158,RED,44,Shen,Karma,2016,Summer,Shen/Karma
160,RED,44,RekSai,Karma,2016,Summer,RekSai/Karma
161,BLUE,44,Maokai,Graves,2016,Summer,Maokai/Graves
165,BLUE,44,Syndra,Ashe,2016,Summer,Syndra/Ashe
166,BLUE,44,Syndra,Braum,2016,Spring,Syndra/Braum
167,BLUE,44,Gragas,Caitlyn,2016,Summer,Gragas/Caitlyn
169,BLUE,44,Ezreal,Alistar,2016,Spring,Ezreal/Alistar
172,RED,43,Shen,RekSai,2016,Summer,Shen/RekSai
184,RED,42,Poppy,Elise,2016,Spring,Poppy/Elise
187,RED,42,Corki,Janna,2016,Spring,Corki/Janna
188,RED,42,Elise,Jhin,2016,Summer,Elise/Jhin
189,RED,42,Ashe,Thresh,2016,Summer,Ashe/Thresh
190,RED,42,Jhin,Thresh,2016,Summer,Jhin/Thresh
191,BLUE,42,Shen,Karma,2016,Summer,Shen/Karma
196,BLUE,42,Sivir,Karma,2016,Summer,Sivir/Karma
200,RED,41,Gragas,Jhin,2016,Spring,Gragas/Jhin
205,BLUE,41,Trundle,Elise,2016,Summer,Trundle/Elise
206,BLUE,41,Trundle,Gragas,2016,Spring,Trundle/Gragas
210,BLUE,41,Rumble,Jhin,2016,Summer,Rumble/Jhin
212,BLUE,41,Gragas,Jhin,2016,Spring,Gragas/Jhin
214,BLUE,41,Graves,Karma,2016,Summer,Graves/Karma
218,RED,40,Trundle,Sivir,2016,Summer,Trundle/Sivir
220,RED,40,Cassiopeia,Ashe,2016,Summer,Cassiopeia/Ashe
221,RED,40,Viktor,Sivir,2016,Summer,Viktor/Sivir
222,RED,40,Jhin,Braum,2016,Summer,Jhin/Braum
225,BLUE,40,Cassiopeia,Gragas,2016,Summer,Cassiopeia/Gragas
227,BLUE,40,Azir,Lucian,2016,Spring,Azir/Lucian
228,BLUE,40,Syndra,Karma,2016,Summer,Syndra/Karma
229,BLUE,40,Jhin,Zyra,2016,Summer,Jhin/Zyra
230,BLUE,40,Lucian,Bard,2016,Spring,Lucian/Bard
232,RED,39,Shen,Jhin,2016,Summer,Shen/Jhin
233,RED,39,Viktor,Elise,2016,Summer,Viktor/Elise
234,RED,39,Cassiopeia,Thresh,2016,Summer,Cassiopeia/Thresh
235,RED,39,Elise,Caitlyn,2016,Spring,Elise/Caitlyn
238,BLUE,39,Rumble,Ashe,2016,Summer,Rumble/Ashe
240,BLUE,39,Syndra,Jhin,2016,Summer,Syndra/Jhin
243,BLUE,39,Gragas,Ashe,2016,Summer,Gragas/Ashe
247,BLUE,39,Ashe,Thresh,2016,Summer,Ashe/Thresh
254,RED,38,Elise,Kalista,2016,Spring,Elise/Kalista
255,RED,38,Kalista,Braum,2016,Spring,Kalista/Braum
258,BLUE,38,Ryze,RekSai,2016,Summer,Ryze/RekSai
259,BLUE,38,Maokai,Ryze,2016,Summer,Maokai/Ryze
261,BLUE,38,Graves,Lucian,2016,Spring,Graves/Lucian
262,BLUE,38,Ryze,Sivir,2016,Summer,Ryze/Sivir
264,BLUE,38,Poppy,Braum,2016,Spring,Poppy/Braum
267,BLUE,38,Khazix,Karma,2016,Summer,Khazix/Karma
268,BLUE,38,LeeSin,Braum,2016,Spring,LeeSin/Braum
276,RED,37,Syndra,Ashe,2016,Summer,Syndra/Ashe
278,RED,37,Viktor,Lucian,2016,Spring,Viktor/Lucian
279,RED,37,Cassiopeia,Braum,2016,Summer,Cassiopeia/Braum
282,RED,37,LeeSin,Braum,2016,Spring,LeeSin/Braum
288,BLUE,37,Shen,Caitlyn,2016,Summer,Shen/Caitlyn
289,BLUE,37,Corki,Elise,2016,Spring,Corki/Elise
291,BLUE,37,Taliyah,Ashe,2016,Summer,Taliyah/Ashe
292,BLUE,37,Elise,Karma,2016,Summer,Elise/Karma
293,BLUE,37,Caitlyn,Karma,2016,Summer,Caitlyn/Karma
294,BLUE,37,Jhin,Braum,2016,Summer,Jhin/Braum
295,RED,36,Maokai,Graves,2016,Spring,Maokai/Graves
296,RED,36,Shen,Gragas,2016,Summer,Shen/Gragas
301,RED,36,RekSai,Ezreal,2016,Summer,RekSai/Ezreal
304,BLUE,36,Trundle,Braum,2016,Summer,Trundle/Braum
309,BLUE,36,Taliyah,Braum,2016,Summer,Taliyah/Braum
313,BLUE,36,Elise,Bard,2016,Summer,Elise/Bard
315,RED,35,Gangplank,Gragas,2016,Spring,Gangplank/Gragas
317,RED,35,Cassiopeia,Jhin,2016,Summer,Cassiopeia/Jhin
318,RED,35,Gragas,Karma,2016,Spring,Gragas/Karma
321,BLUE,35,Shen,Jhin,2016,Summer,Shen/Jhin
326,BLUE,35,Viktor,Ezreal,2016,Summer,Viktor/Ezreal
327,BLUE,35,Viktor,Lucian,2016,Spring,Viktor/Lucian
329,BLUE,35,RekSai,Ezreal,2016,Spring,RekSai/Ezreal
334,RED,34,Ryze,Karma,2016,Summer,Ryze/Karma
