,time,quantidade_vitorias,champ1,champ2,ano,season,champComp
0,BLUE,113,Kalista,Thresh,2015,Spring,Kalista/Thresh
1,BLUE,97,Elise,Braum,2015,Summer,Elise/Braum
2,RED,96,Gragas,Sivir,2015,Summer,Gragas/Sivir
3,RED,89,RekSai,Sivir,2015,Spring,RekSai/Sivir
4,BLUE,89,Gragas,Sivir,2015,Summer,Gragas/Sivir
5,RED,88,Gragas,Braum,2015,Spring,Gragas/Braum
6,RED,83,RekSai,Thresh,2015,Spring,RekSai/Thresh
7,BLUE,83,RekSai,Lucian,2015,Spring,RekSai/Lucian
8,BLUE,83,Gragas,Braum,2015,Summer,Gragas/Braum
9,BLUE,83,RekSai,Thresh,2015,Spring,RekSai/Thresh
10,RED,82,Maokai,Sivir,2015,Spring,Maokai/Sivir
11,BLUE,82,Gragas,Thresh,2015,Summer,Gragas/Thresh
13,RED,78,Kalista,Thresh,2015,Spring,Kalista/Thresh
14,BLUE,77,Gnar,Gragas,2015,Summer,Gnar/Gragas
15,RED,76,Gnar,Gragas,2015,Summer,Gnar/Gragas
16,BLUE,76,RekSai,Braum,2015,Spring,RekSai/Braum
17,RED,75,RekSai,Braum,2015,Spring,RekSai/Braum
18,BLUE,75,RekSai,Alistar,2015,Summer,RekSai/Alistar
21,RED,73,Gragas,Alistar,2015,Summer,Gragas/Alistar
22,BLUE,73,Viktor,RekSai,2015,Summer,Viktor/RekSai
24,BLUE,72,RekSai,Sivir,2015,Spring,RekSai/Sivir
25,RED,71,Elise,Thresh,2015,Summer,Elise/Thresh
26,RED,70,Maokai,RekSai,2015,Spring,Maokai/RekSai
27,BLUE,70,RekSai,Ashe,2015,Summer,RekSai/Ashe
28,RED,69,Gragas,Thresh,2015,Summer,Gragas/Thresh
29,RED,69,Lucian,Braum,2015,Spring,Lucian/Braum
30,BLUE,69,Maokai,Thresh,2015,Spring,Maokai/Thresh
31,BLUE,68,RekSai,Kalista,2015,Summer,RekSai/Kalista
33,BLUE,67,Maokai,RekSai,2015,Spring,Maokai/RekSai
34,BLUE,66,Maokai,Sivir,2015,Spring,Maokai/Sivir
35,RED,65,Elise,Alistar,2015,Summer,Elise/Alistar
36,RED,64,Maokai,Corki,2015,Spring,Maokai/Corki
37,RED,64,Kalista,Alistar,2015,Summer,Kalista/Alistar
38,BLUE,64,Rumble,RekSai,2015,Spring,Rumble/RekSai
39,BLUE,63,Gragas,Kalista,2015,Summer,Gragas/Kalista
41,RED,62,Corki,Braum,2015,Spring,Corki/Braum
42,RED,62,Corki,Thresh,2015,Spring,Corki/Thresh
44,RED,61,RekSai,Alistar,2015,Summer,RekSai/Alistar
45,BLUE,61,Gnar,RekSai,2015,Summer,Gnar/RekSai
